gate_id	kind	path	min_rows	required_columns	required_values	forbid_values	check_path_columns	message
dataset_hashes	table	reproducibility_bundle/DATASETS/dataset_hashes.tsv	1	dataset,split,path,sha256			path	Dataset split hashes must be staged for review-time reproducibility.
model_revisions	table	reproducibility_bundle/MODELS/model_revisions.tsv	1	model_id,role,hf_revision_or_path,tokenizer_revision,validation_status				Model revision hashes must be staged for all teachers, students, and bases.
adapter_index	table	reproducibility_bundle/MODELS/adapter_index.tsv	1	adapter_id,student_id,base_model,seed,path_or_escrow_id,sha256,training_run_id,validation_status				Adapter or checkpoint hashes must be staged, or the paper must not claim training reproducibility.
trace_index	table	reproducibility_bundle/TRACES/trace_index.tsv	1	trace_id,dataset,student_id,seed,path,sha256			path	Generated trace corpora must be staged, or the paper must not claim raw trace reproducibility.
run_logs	table	reproducibility_bundle/RUN_LOGS/slurm_jobs.tsv	1	run_id,job_id,array_task_id,stage,command_hash,stdout_path,stdout_sha256,stderr_path,stderr_sha256,started_at,finished_at,exit_code,node_list,gpu_model,cuda_version,env_id,git_or_archive_hash,stage_in_path,stage_out_path,validation_status			stdout_path|stderr_path	Run logs must be staged with stdout/stderr hashes, environment IDs, hardware metadata, and stage-in/out paths for review-time rerun support.
raw_trace_inputs	table	results_90pt/raw_trace_manifests/raw_trace_inputs.tsv	1	dataset,student_id,seed,true_teacher,base_reference,trace_path,label			trace_path	Raw trace inputs are required before adaptive laundering/base-mismatch runs are executable.
mtcr_task_views	table	results_90pt/raw_trace_manifests/mtcr_task_views.tsv	1	dataset,task_view,candidate_teacher,trace_path			trace_path	MTCR per-task profiles require concrete task-view trace inputs.
scored_matrix_index	table	reproducibility_bundle/SCORES/scored_matrix_index.tsv	90	matrix_id,dataset,path,sha256,actual_rows,validation_status		validation_status=review	path	All scored matrices must be indexed and short-row review items resolved before final reproducibility.
short_row_impact_report	table	results_90pt/scored_matrix_repairs/short_row_impact_report.tsv	4	path,dataset,student_id,candidate_teacher,expected_rows,actual_rows,missing_row_count,affected_outputs,risk_class,resolution				Short scored-matrix rows must have an impact audit until the complete matrices are retrieved or rescored.
short_row_missing_trace_ids	table	results_90pt/scored_matrix_repairs/short_row_missing_trace_ids.tsv	6	path,dataset,student_id,candidate_teacher,missing_trace_id				Missing scored trace IDs must be explicitly listed for reviewer-facing reproducibility repair.
minimal_rescore_manifest	table	results_90pt/scored_matrix_repairs/minimal_rescore_manifest.tsv	6	repair_id,dataset,target_path,student_id,candidate_teacher,trace_id,required_action,required_patch_columns,expected_patch_jsonl,raw_trace_status,candidate_model_status,validation_rule				Unresolved short scored matrices must have an exact real-row rescore manifest before any patch merge is allowed.
repro_manifest	table	results_90pt/reproducibility/reproducibility_manifest.tsv	1	artifact_id,artifact_type,path,sha256,size_bytes,created_at,source_run_id,public_release_status			path	A hash manifest must exist for staged local artifacts.
environment_lock	file	reproducibility_bundle/ENVIRONMENT.md	1					Environment details must be staged; a stricter lock file can replace this contract row later.
