x,y,w,h,fill,stroke,title,detail
0.9,0.76,0.66,0.4,#EFF6FF,#2563A8,Suspect traces,black-box outputs
2.45,0.76,0.68,0.4,#EFF6FF,#2563A8,"Same-base
reference","non-distilled base
outputs"
4,0.76,0.7,0.4,#F8FAFC,#223047,"Candidate
teachers","authorized likelihood
scoring"
5.65,0.76,0.72,0.4,#EEF2FF,#7C6BB5,CML statistic,"score S and R under
same T_c"
7.28,0.76,0.68,0.4,#ECFDF5,#047857,"Null
calibration","threshold on negative
controls"
8.82,0.76,0.68,0.4,#F8FAFC,#223047,Audit decision,"detect, attribute, or
abstain"
