calibration_tasks,model,accuracy,text_colour,gain_from_one_task
1,R1-Qwen-32B,0.672,#111827,0
1,R1-Llama-8B,0.658,#111827,0
2,R1-Qwen-32B,0.725,#111827,0.052999999999999936
2,R1-Llama-8B,0.71,#111827,0.051999999999999935
4,R1-Qwen-32B,0.781,#111827,0.10899999999999999
4,R1-Llama-8B,0.765,#111827,0.10699999999999998
8,R1-Qwen-32B,0.834,white,0.16199999999999992
8,R1-Llama-8B,0.812,#111827,0.15400000000000003
12,R1-Qwen-32B,0.871,white,0.19899999999999995
12,R1-Llama-8B,0.853,white,0.19499999999999995
16,R1-Qwen-32B,0.894,white,0.22199999999999998
16,R1-Llama-8B,0.875,white,0.21699999999999997
