teacher,reference,metric,value
Qwen2.5-14B,matched reference,AUROC,0.9983333333333332
Qwen2.5-14B,matched reference,FPR0,0.00166666666666666
R1-Llama-8B,matched reference,AUROC,0.9975097384529772
R1-Llama-8B,matched reference,FPR0,0.00166666666666666
R1-Qwen-32B,matched reference,AUROC,0.992725
R1-Qwen-32B,matched reference,FPR0,0.00166666666666666
Qwen2.5-14B,human fallback,AUROC,0.49864305555555555
Qwen2.5-14B,human fallback,FPR0,0.9983333333333332
R1-Llama-8B,human fallback,AUROC,0.47895937673900946
R1-Llama-8B,human fallback,FPR0,0.9983333333333332
R1-Qwen-32B,human fallback,AUROC,0.478375
R1-Qwen-32B,human fallback,FPR0,0.9983333333333332
