scenario,metric,value
Public decoy,abstention,0.9812
Public decoy,false attribution,0.011
Public decoy,coverage,0.9861
Public decoy,max false attribution,0.011
Sibling absent,abstention,0.9318
Sibling absent,false attribution,0.0166
Sibling absent,coverage,0.9798
Sibling absent,max false attribution,0.0166
Source absent,abstention,0.9437
Source absent,false attribution,0.0138
Source absent,coverage,0.9828
Source absent,max false attribution,0.0138
Unrelated teacher,abstention,0.9678
Unrelated teacher,false attribution,0.0069
Unrelated teacher,coverage,0.9898
Unrelated teacher,max false attribution,0.0069
