condition,dataset,auroc
"cross-base
Llama-3.1-8B",GSM8K,0.958
"cross-base
Llama-3.1-8B",MATH,0.949
"cross-base
Llama-3.1-8B",BBH,0.942
"cross-base
Llama-3.1-8B",ARC-Challenge,0.935
"cross-base
Llama-3.1-8B",MBPP,0.926
"cross-base
Mistral-7B",GSM8K,0.9484999999999999
"cross-base
Mistral-7B",MATH,0.94
"cross-base
Mistral-7B",BBH,0.9339999999999999
"cross-base
Mistral-7B",ARC-Challenge,0.925
"cross-base
Mistral-7B",MBPP,0.915
"cross-base
Qwen2.5-7B",GSM8K,0.949
"cross-base
Qwen2.5-7B",MATH,0.941
"cross-base
Qwen2.5-7B",BBH,0.935
"cross-base
Qwen2.5-7B",ARC-Challenge,0.928
"cross-base
Qwen2.5-7B",MBPP,0.919
"same-base
Llama-3.1-8B",GSM8K,0.998
"same-base
Llama-3.1-8B",MATH,0.995
"same-base
Llama-3.1-8B",BBH,0.989
"same-base
Llama-3.1-8B",ARC-Challenge,0.981
"same-base
Llama-3.1-8B",MBPP,0.974
"same-base
Qwen2.5-7B",GSM8K,0.999
"same-base
Qwen2.5-7B",MATH,0.996
"same-base
Qwen2.5-7B",BBH,0.991
"same-base
Qwen2.5-7B",ARC-Challenge,0.984
"same-base
Qwen2.5-7B",MBPP,0.978
